English,Magyar
feeling,érzés
living,élő
cause,ok
ahead,előre
lose,elveszít
king,király
plan,terv
dinner,vacsora
sighs,sóhajt
sort,fajta
leaving,kilépő
shouldn,kellene
running,futás
boss,főnök
alright,rendben
promise,ígéret
taken,vették
safe,biztonságos
ma,ma
book,könyv
sent,küldött
white,fehér
hour,óra
anybody,bárki
small,kicsi
perfect,tökéletes
live,élő
special,különleges
parents,szülők
john,János
himself,saját maga
perhaps,talán
sounds,hangokat
serious,komoly
sick,beteg
company,vállalat
scared,megrémült
uncle,nagybácsi
poor,szegény
red,piros
past,múlt
earth,föld
possible,lehetséges
shoot,lő
touch,érintés
sound,hang
top,tetejére
ass,szamár
laugh,nevetés
cannot,nem tud
asking,kérve
win,győzelem
glad,boldog
control,ellenőrzés
hmm,hmm
human,emberi
drive,hajtás
hair,haj
bitch,kurva
luck,szerencse
murder,gyilkosság
happens,történik
air,levegő
ten,tíz
daddy,apu
finally,végül
chuckles,kuncog
fast,gyors
cold,hideg
seem,látszik
laughing,nevetés
words,szavak
hospital,kórház
street,utca
hang,lóg
dance,tánc
meeting,találkozó
till,amíg
others,mások
catch,fogás
follow,kövesse
sense,érzék
sex,szex
lie,fekszik
evening,este
master,fő-
known,ismert
dream,álom
write,ír
million,millió
voice,hang
sweet,édes
rather,Inkább
felt,filc
sign,jel
lucky,szerencsés
somewhere,valahol
bet,tét
o,o
jesus,Jézus
longer,hosszabb
calling,hívás
worked,dolgozott
quiet,csendes
looked,nézett
less,Kevésbé
pull,Húzni
beat,üt
careful,óvatos
coffee,kávé
return,Visszatérés
secret,titok
weeks,hét
weren,voltak
date,dátum
seeing,látás
fall,esik
given,adott
ooh,óóó
fault,hiba
straight,egyenes
takes,veszi
song,dal
future,jövő
gentlemen,Urak
loved,szeretett
changed,megváltozott
road,út
calm,nyugodt
wonderful,csodálatos
mad,őrült
turned,fordult
drop,csepp
ladies,hölgyek
learn,tanul
step,lépés
absolutely,teljesen
early,korai
explain,megmagyarázni
clean,tiszta
piece,darab
yesterday,tegnap
throw,dobás
picture,kép
land,föld
feet,lábát
wonder,csoda
questions,kérdéseket
speaking,beszélő
worth,érdemes
darling,Drágám
dude,haver
giving,adva
president,elnök
eye,szem
quick,gyors
moving,mozgó
figure,ábra
state,állapot
strong,erős
sam,sam
none,egyik sem
amazing,elképesztő
ones,azok
works,művek
act,törvény
needed,szükséges
weird,furcsa
law,törvény
worried,aggódó
report,jelentés
goodbye,viszontlátásra
missing,hiányzó
choice,választás
happening,esemény
chief,fő
wedding,esküvő
strange,furcsa
general,Tábornok
pain,fájdalom
am,am
kidding,viccelek
decided,határozott
ya,igen
pass,pass
tired,fáradt
class,osztály
officer,tiszt
kept,tartotta
wake,ébred
worse,rosszabb
busy,elfoglalt
eh,eh
mistake,hiba
kiss,csók
court,bíróság
building,épület
finish,Befejez
during,alatt
age,kor
ship,hajó
caught,elkapták
marry,feleségül vesz
meant,jelentett
sell,elad
dark,sötét
watching,nézni
system,rendszer
suppose,tegyük fel
evidence,bizonyíték
movie,film
ride,lovagol
completely,teljesen
mouth,száj
totally,teljesen
birthday,születésnap
tv,tévé
forgive,megbocsát
born,született
imagine,Képzeld el
information,információ
instead,helyette
definitely,egyértelműen
security,Biztonság
certainly,biztosan
film,film
month,hónap
lying,fekvő
unless,hacsak
train,vonat
seven,hét
wear,viselet
clothes,ruhák
michael,michael
hotel,szálloda
christmas,Karácsony
attack,támadás
hasn,hasn
round,kerek
expect,elvárják
sing,énekel
terrible,szörnyű
george,György
bag,táska
history,történelem
blue,kék
near,közel
broke,törött
station,állomás
seriously,Komolyan
forever,örökké
david,David
frank,őszinte
except,kivéve
thinks,azt hiszi
message,üzenet
entire,teljes
joe,joe
table,asztal
talked,beszélt
across,át
rock,szikla
lovely,bájos
handle,fogantyú
middle,középső
buddy,haver
paid,fizetett
protect,védeni
using,segítségével
floor,padló
ran,futott
swear,esküszik
spend,tölt
situation,helyzet
ring,gyűrű
anywhere,bárhol
dangerous,veszélyes
bill,számla
york,york
army,hadsereg
lead,vezet
bought,vásárolt
finished,befejezett
fair,becsületes
sun,nap
letter,levél
fool,bolond
attention,Figyelem
club,klub
simple,egyszerű
interesting,érdekes
space,hely
test,teszt
box,doboz
group,csoport
single,egyetlen
sitting,ülés
marriage,házasság
join,csatlakozik
fear,félelem
d,d
peace,béke
forgot,elfelejtette
force,Kényszerítés
short,rövid
normal,Normál
charlie,Charlie
present,ajándék
enjoy,Élvezd
mike,mikrofon
crime,bűn
horse,ló
ground,talaj
american,Amerikai
count,számol
area,terület
charge,díj
honor,becsület
lunch,ebéd
miles,mérföldre
radio,rádió
idiot,idióta
ball,labda
surprise,meglepetés
paper,papír
key,kulcs
boat,hajó
quickly,gyorsan
gold,Arany
bar,rúd
fish,hal
mark,megjelöl
wearing,fárasztó
crying,síró
accident,baleset
government,kormány
eight,nyolc
fell,leesett
cover,borító
certain,bizonyos
interested,érdekelt
deep,mély
star,csillag
sea,tenger
agree,egyetért
problems,problémákat
detective,nyomozó
prison,börtön
major,Jelentősebb
stick,rúd
offer,ajánlat
difficult,nehéz
smart,Okos
