English,Magyar
court,bíróság
stick,rúd
enjoy,Élvezd
mad,őrült
space,hely
glad,boldog
amazing,elképesztő
protect,védeni
terrible,szörnyű
happens,történik
fall,esik
drive,hajtás
cause,ok
step,lépés
fell,leesett
lunch,ebéd
win,győzelem
chuckles,kuncog
asking,kérve
million,millió
law,törvény
follow,kövesse
future,jövő
boat,hajó
completely,teljesen
beat,üt
fish,hal
return,Visszatérés
club,klub
chief,fő
eight,nyolc
murder,gyilkosság
horse,ló
land,föld
offer,ajánlat
laughing,nevetés
hotel,szálloda
missing,hiányzó
finished,befejezett
anybody,bárki
darling,Drágám
weren,voltak
situation,helyzet
calling,hívás
bag,táska
catch,fogás
spend,tölt
kept,tartotta
d,d
dinner,vacsora
major,Jelentősebb
sweet,édes
crying,síró
fool,bolond
kiss,csók
perhaps,talán
taken,vették
talked,beszélt
hospital,kórház
bet,tét
sun,nap
sick,beteg
lovely,bájos
york,york
certainly,biztosan
building,épület
officer,tiszt
human,emberi
honor,becsület
suppose,tegyük fel
buddy,haver
hmm,hmm
american,Amerikai
information,információ
shoot,lő
worked,dolgozott
decided,határozott
special,különleges
himself,saját maga
instead,helyette
handle,fogantyú
act,törvény
jesus,Jézus
eh,eh
sell,elad
rock,szikla
key,kulcs
attack,támadás
fault,hiba
happening,esemény
attention,Figyelem
paid,fizetett
ship,hajó
figure,ábra
history,történelem
except,kivéve
less,Kevésbé
area,terület
bar,rúd
floor,padló
sense,érzék
age,kor
till,amíg
single,egyetlen
born,született
mouth,száj
felt,filc
lose,elveszít
mike,mikrofon
clothes,ruhák
tv,tévé
longer,hosszabb
weird,furcsa
strange,furcsa
control,ellenőrzés
picture,kép
joe,joe
quickly,gyorsan
needed,szükséges
lie,fekszik
mistake,hiba
ride,lovagol
forever,örökké
certain,bizonyos
imagine,Képzeld el
dark,sötét
worried,aggódó
group,csoport
sent,küldött
near,közel
dream,álom
hour,óra
detective,nyomozó
sitting,ülés
drop,csepp
luck,szerencse
definitely,egyértelműen
forgive,megbocsát
rather,Inkább
unless,hacsak
force,Kényszerítés
marriage,házasság
surprise,meglepetés
dance,tánc
given,adott
fear,félelem
hang,lóg
poor,szegény
broke,törött
feet,lábát
count,számol
christmas,Karácsony
sign,jel
ones,azok
road,út
david,David
ran,futott
radio,rádió
present,ajándék
king,király
questions,kérdéseket
piece,darab
forgot,elfelejtette
gold,Arany
ma,ma
evening,este
calm,nyugodt
mark,megjelöl
goodbye,viszontlátásra
seeing,látás
smart,Okos
state,állapot
bought,vásárolt
earth,föld
feeling,érzés
explain,megmagyarázni
finish,Befejez
station,állomás
fair,becsületes
pass,pass
date,dátum
ring,gyűrű
birthday,születésnap
busy,elfoglalt
somewhere,valahol
table,asztal
pain,fájdalom
security,Biztonság
clean,tiszta
film,film
scared,megrémült
perfect,tökéletes
sort,fajta
worse,rosszabb
seven,hét
quick,gyors
evidence,bizonyíték
dude,haver
coffee,kávé
o,o
learn,tanul
lying,fekvő
master,fő-
sighs,sóhajt
simple,egyszerű
wear,viselet
across,át
choice,választás
lead,vezet
totally,teljesen
write,ír
straight,egyenes
moving,mozgó
kidding,viccelek
meeting,találkozó
words,szavak
plan,terv
careful,óvatos
giving,adva
accident,baleset
leaving,kilépő
am,am
tired,fáradt
absolutely,teljesen
during,alatt
peace,béke
living,élő
month,hónap
voice,hang
ladies,hölgyek
ten,tíz
running,futás
past,múlt
ground,talaj
wedding,esküvő
pull,Húzni
fast,gyors
turned,fordult
others,mások
works,művek
throw,dobás
difficult,nehéz
early,korai
safe,biztonságos
president,elnök
miles,mérföldre
cannot,nem tud
join,csatlakozik
wonder,csoda
secret,titok
known,ismert
speaking,beszélő
meant,jelentett
general,Tábornok
hair,haj
thinks,azt hiszi
small,kicsi
sounds,hangokat
george,György
